m#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
42,Sunday May 16,boxscore,BOS,,LAA,L,5,6,,25-17,1,up 1.5,Iglesias,Barnes,Mayers,3:19,D,9316,1.28,-,
43,Tuesday May 18,boxscore,BOS,@,TOR,L,0,8,,25-18,1,up 0.5,Ryu,Rodriguez,,3:16,N,1566,1.52,--,
44,Wednesday May 19,boxscore,BOS,@,TOR,W,7,3,,26-18,1,up 1.0,Richards,Stripling,,3:07,N,1581,1.52,+,
45,Thursday May 20,boxscore,BOS,@,TOR,W,8,7,,27-18,1,up 1.0,Valdez,Dolis,Barnes,3:25,N,1562,1.54,++,
46,Friday May 21,boxscore,BOS,@,PHI,W,11,3,,28-18,1,up 1.0,Perez,Nola,,3:35,N,15279,1.22,+++,
47,Saturday May 22,boxscore,BOS,@,PHI,W,4,3,,29-18,1,up 1.0,Eovaldi,Howard,Barnes,3:40,N,15424,1.27,++++,
48,Sunday May 23,boxscore,BOS,@,PHI,L,2,6,,29-19,1,Tied,Wheeler,Rodriguez,,3:19,D,15360,1.24,-,
49,Tuesday May 25,boxscore,BOS,,ATL,L,1,3,,29-20,2,0.5,Morton,Richards,Smith,3:06,N,9357,1.23,--,
50,Wednesday May 26,boxscore,BOS,,ATL,W,9,5,,30-20,2,0.5,Pivetta,Smyly,,2:56,N,9197,1.23,+,
51,Friday May 28,boxscore,BOS,,MIA,W,5,2,6,31-20,2,0.5,Perez,Poteet,Ottavino,2:07,N,9005,1.30,++,
52,Saturday May 29,boxscore,BOS,,MIA,W,3,1,,32-20,2,0.5,Eovaldi,Rogers,Barnes,3:17,D,25089,1.24,+++,
53,Monday May 31,boxscore,BOS,@,HOU,L,2,11,,32-21,2,2.0,Urquidy,Rodriguez,,3:15,D,28543,1.32,-,
54,Tuesday Jun 1,boxscore,BOS,@,HOU,L,1,5,,32-22,2,2.0,Garcia,Richards,,3:23,N,23449,1.33,--,
55,Wednesday Jun 2,boxscore,BOS,@,HOU,L,1,2,,32-23,2,2.0,Valdez,Pivetta,Pressly,2:57,N,22664,1.34,---,
56,Thursday Jun 3,boxscore,BOS,@,HOU,W,5,1,,33-23,2,2.0,Perez,Odorizzi,,3:07,D,24853,1.32,+,
57,Friday Jun 4,boxscore,BOS,@,NYY,W,5,2,,34-23,2,1.0,Eovaldi,King,Barnes,2:49,N,18040,1.46,++,
58,Saturday Jun 5,boxscore,BOS,@,NYY,W,7,3,,35-23,2,1.0,Whitlock,Green,Barnes,3:14,N,20019,1.48,+++,
59,Sunday Jun 6,boxscore,BOS,@,NYY,W,6,5,10,36-23,2,1.0,Barnes,Cessa,Valdez,3:49,N,19103,1.48,++++,
60,Monday Jun 7,boxscore,BOS,,MIA,W,5,3,,37-23,2,0.5,Sawamura,Thompson,Ottavino,3:38,N,25374,1.27,+++++,
61,Tuesday Jun 8,boxscore,BOS,,HOU,L,1,7,,37-24,2,1.5,Valdez,Perez,,3:28,N,23604,1.31,-,
62,Wednesday Jun 9,boxscore,BOS,,HOU,L,3,8,,37-25,2,1.5,Odorizzi,Eovaldi,Javier,3:07,N,21007,1.40,--,
63,Thursday Jun 10,boxscore,BOS,,HOU,W,12,8,,38-25,2,1.0,Hernandez,Taylor,,3:47,N,23378,1.41,+,
64,Friday Jun 11,boxscore,BOS,,TOR,W-wo,6,5,,39-25,2,1.0,Whitlock,Dolis,,3:31,N,25257,1.49,++,
65,Saturday Jun 12,boxscore,BOS,,TOR,L,2,7,,39-26,2,2.0,Matz,Pivetta,,3:09,D,24024,1.44,-,
66,Sunday Jun 13,boxscore,BOS,,TOR,L,4,18,,39-27,2,3.0,Ray,Perez,,2:54,D,22595,1.48,--,
67,Monday Jun 14,boxscore,BOS,,TOR,W-wo,2,1,,40-27,2,3.0,Barnes,Dolis,,2:42,N,20070,1.45,+,
68,Tuesday Jun 15,boxscore,BOS,@,ATL,W,10,8,,41-27,2,2.0,Sawamura,Martin,Barnes,3:32,N,36638,1.30,++,
69,Wednesday Jun 16,boxscore,BOS,@,ATL,W,10,8,,42-27,2,1.0,Rios,Greene,Ottavino,4:10,N,39847,1.33,+++,
70,Friday Jun 18,boxscore,BOS,@,KCR,L,3,5,,42-28,2,0.5,Bubic,Pivetta,Holland,3:20,N,29870,1.37,-,
71,Saturday Jun 19,boxscore,BOS,@,KCR,W,7,1,,43-28,1,up 0.5,Perez,Keller,,2:59,D,24568,1.38,+,
72,Sunday Jun 20,boxscore,BOS,@,KCR,L,3,7,,43-29,1,up 0.5,Minor,Eovaldi,,3:35,D,20726,1.38,-,
